College From IPEDs,College,Longitude,Latitude
Alliant International University-San Diego,Alliant International University,-117.094398,32.897056
Auburn University,Auburn University,-85.488258,32.599378
Blackfeet Community College,Blackfeet Community College,-113.009387,48.551927
Copper Mountain Community College,Copper Mountain College,-116.213939,34.140464
Del Mar College,Del Mar College,-97.40762,27.763619
Delta College,Delta College,-83.985943,43.559491
Eastern Michigan University,Eastern Michigan University,-83.627443,42.251675
California State University-Fresno,Fresno State,-119.744569,36.811154
Garden City Community College,Garden City Community College,-100.848082,37.970151
Gateway Technical College,Gateway Technical College,-87.846695,42.605677
Goshen College,Goshen College,-85.827795,41.563582
Guilford Technical Community College,Guilford Technical Community College,-79.92062,35.99846
Lamar State College-Port Arthur,Lamar State College - Port Arthur,-93.925886,29.880385
Lynn University,Lynn University,-80.122806,26.385985
Mid-Plains Community College,Mid-Plains Community College,-100.748417,41.110429
Midland College,Midland College,-102.106153,32.029646
Neosho County Community College,Neosho County Community College,-95.464976,37.670672
New Mexico State University-Main Campus,New Mexico State University,-106.752069,32.281568
Nyack College,Nyack College,-74.015605,40.705798
Rochester Institute of Technology,Rochester Institute of Technology,-77.67386,43.084188
Saint Francis University,Saint Francis University,-78.63904,40.506734
Swarthmore College,Swarthmore College,-75.354278,39.905159
Thomas Jefferson University,Thomas Jefferson University,-75.158266,39.948274
United Tribes Technical College,United Tribes Technical College,-100.755131,46.767157
University of Alaska Fairbanks,University of Alaska Fairbanks,-147.823146,64.85756
University of Arkansas at Pine Bluff,University of Arkansas at Pine Bluff,-92.018683,34.244031
University of Illinois Urbana-Champaign,University of Illinois-Urbana-Champaign,-88.229114,40.104718
University of Saint Joseph,University of Saint Joseph Connecticut,-72.72965,41.781041
The University of Tennessee-Martin,University of Tennessee Martin,-88.864211,36.340338
University of Wisconsin-Stevens Point,University of Wisconsin Stevens Point,-89.570934,44.529582
Vermont Technical College,Vermont Technical College,-72.604498,43.939623
