"","School Name","URL","State","index"
"1","Drexel University College of Medicine","http://drexelmed.edu","PA",1
"2","College of the Canyons","http://canyons.edu","CA",2
"3","Midwestern University","http://midwestern.edu","IL",3
"4","University of Texas Arlington","http://uta.edu","TX",4
"5","Butte College","http://butte.edu","CA",5
"6","Texas Tech University","http://ttu.edu","TX",6
"7","Cincinnati State Technical and Community College","http://cincinnatistate.edu","OH",7
"8","Illinois Mathematics and Science Academy","http://imsa.edu","IL",8
"9","University of California San Diego","http://ucsd.edu","CA",9
"10","Southern New Hampshire University","http://snhu.edu","NH",10
"11","Avila University","http://avila.edu","MO",11
"12","Contra Costa College","http://contracosta.edu","CA",12
"13","University of Rochester","http://rochester.edu","NY",13
"14","Walsh University","http://walsh.edu","OH",14
"15","Saint Vincent College","http://stvincent.edu","PA",15
"16","University of Northwestern Saint Paul","http://unwsp.edu","MN",16
"17","Roanoke-Chowan Community College","http://roanokechowan.edu","NC",17
"18","Cuyamaca College","http://cuyamaca.edu","CA",18
"19","Herkimer College","http://herkimer.edu","NY",19
"20","Campbell University","http://campbell.edu","NC",20
"21","University of Texas Medical Branch at Galveston","http://utmb.edu","TX",21
"22","Shepherd University","http://shepherd.edu","WV",22
"23","Kaskaskia College","http://kaskaskia.edu","IL",23
"24","University of South Florida","http://usf.edu","FL",24
"25","Norco College","http://norcocollege.edu","CA",25
"26","University of Missouri Saint Louis","http://umsl.edu","MO",26
"27","Spa Tech Institute","http://spatech.edu","MA",27
"28","Lehigh University","http://lehigh.edu","PA",28
"29","Middlesex County College","http://middlesexcc.edu","NJ",29
"30","Washburn University School of Law","http://washburnlaw.edu","KS",30
"31","Phoenix College","http://phoenixcollege.edu","AZ",31
"32","Mississippi Gulf Coast Community College","http://mgccc.edu","MS",32
"33","Saint John’s College","http://sjc.edu","MD",33
"34","Southwest Virgina Community College","http://sw.edu","VA",34
"35","Worcester State University","http://worcester.edu","MA",35
"36","Barstow Community College","http://barstow.edu","CA",36
"37","The College of Saint Scholastica","http://css.edu","MN",37
"38","Appalachian State University","http://appstate.edu","NC",38
"39","Alpena Community College","http://alpenacc.edu","MI",39
"40","Indiana State University","http://indstate.edu","IN",40
"41","Stenotech Career Institute","http://stenotech.edu","NJ",41
"42","Mount Vernon Nazarene University","http://mvnu.edu","OH",42
"43","Bellevue University","http://bellevue.edu","NE",43
"44","Arkansas Tech University","http://atu.edu","AR",44
"45","Keiser University","http://keiseruniversity.edu","FL",45
"46","Yakima Valley Community College","http://yvcc.edu","WA",46
"47","The Jewish Theological Seminary","http://jtsa.edu","NY",47
"48","Broward College","http://broward.edu","FL",48
"49","Spelman College","http://spelman.edu","GA",49
"50","University of Montevallo","http://montevallo.edu","AL",50
"51","Western Piedmont Community College","http://wpcc.edu","NC",51
"52","University of Texas of the Permian Basin","http://utpb.edu","TX",52
"53","Virginia Wesleyan College","http://vwc.edu","VA",53
"54","Midway College","http://midway.edu","KY",54
"55","Medical College of Wisconsin","http://mcw.edu","WI",55
"56","Wilson College","http://wilson.edu","PA",56
"57","University of Illinois Springfield","http://uis.edu","IL",57
"58","Fuller Theological Seminary","http://fuller.edu","CA",58
"59","Leech Lake Tribal College","http://lltc.edu","MN",59
"60","New Jersey City University","http://njcu.edu","NJ",60
"61","Sampson Community College","http://sampsoncc.edu","NC",61
"62","Wayland Baptist University","http://wbu.edu","TX",62
"63","Ogle School","http://ogleschool.edu","TX",63
"64","Mid-Plains Community College","http://mpcc.edu","NE",64
"65","Madison Area Technical College","http://madisoncollege.edu","WI",65
"66","Alabama A&M University","http://aamu.edu","AL",66
"67","Lubbock Christian University","http://lcu.edu","TX",67
"68","University of San Francisco","http://usfca.edu","CA",68
"69","College of Central Florida","http://cf.edu","FL",69
"70","Tennessee State University","http://tnstate.edu","TN",70
"71","State University of New York at Plattsburgh","http://plattsburgh.edu","NY",71
"72","Massachusetts Institute of Technology","http://mit.edu","MA",72
"73","Reformed Theological Seminary","http://rts.edu","MS",73
"74","Embry-Riddle Aeronautical University","http://erau.edu","FL",74
"75","Flathead Valley Community College","http://fvcc.edu","MT",75
"76","University of California Press","http://ucpress.edu","CA",76
"77","Lone Star College System","http://lonestar.edu","TX",77
"78","Heritage Bible College","http://heritagebiblecollege.edu","NC",78
"79","Lake Erie College of Osteopathic Medicine","http://lecom.edu","PA",79
"80","San Joaquin Delta College","http://deltacollege.edu","CA",80
"81","California State University","http://calstate.edu","CA",81
"82","Saint Charles Community College","http://stchas.edu","MO",82
"83","Imperial Valley College","http://imperial.edu","CA",83
"84","College of Southern Nevada","http://csn.edu","NV",84
"85","Trenholm State Technical College","http://trenholmstate.edu","AL",85
"86","Mercer University","http://mercer.edu","GA",86
"87","Mount Marty College","http://mtmc.edu","SD",87
"88","University of Texas at Austin","http://utexas.edu","TX",88
"89","Asnuntuck Community College","http://asnuntuck.edu","CT",89
"90","Kettering College","http://kc.edu","OH",90
"91","Rogue Community College","http://roguecc.edu","OR",91
"92","Chicago ORT Technical Institute","http://ortchicagotech.edu","IL",92
"93","Belhaven University","http://belhaven.edu","MS",93
"94","American University","http://american.edu","DC",94
"95","Resurrection University","http://resu.edu","IL",95
"96","Meridian Technology Center","http://meridiantech.edu","OK",96
"97","California State University Channel Islands","http://csuci.edu","CA",97
"98","Wheaton College","http://wheaton.edu","IL",98
"99","Iona College","http://iona.edu","NY",99
"100","Langston University","http://langston.edu","OK",100
"101","University of Massachusetts","http://umassp.edu","MA",101
"102","The New School","http://newschool.edu","NY",102
"103","Stevens Institute of Technology","http://stevens.edu","NJ",103
"104","University of Tennessee Space Institute","http://utsi.edu","TN",104
"105","La Roche College","http://laroche.edu","PA",105
"106","National Louis University","http://nl.edu","IL",106
"107","Bates College","http://bates.edu","ME",107
"108","Marylhurst University","http://marylhurst.edu","OR",108
"109","Southwest Baptist University","http://sbuniv.edu","MO",109
"110","Simpson University","http://simpsonu.edu","CA",110
"111","New Orleans Baptist Theological Seminary","http://nobts.edu","LA",111
"112","Prairie State College","http://prairiestate.edu","IL",112
"113","University of  Maryland Baltimore County","http://umbc.edu","MD",113
"114","Mount Holyoke College","http://mtholyoke.edu","MA",114
"115","Academy of Arts University","http://academyart.edu","CA",115
"116","University of Nebraska at Lincoln","http://unl.edu","NE",116
"117","Anderson University","http://anderson.edu","IN",117
"118","Metropolitan College of New York","http://mcny.edu","NY",118
"119","Trinity Christian College","http://trnty.edu","IL",119
"120","Bryant University","http://bryant.edu","RI",120
"121","Luther Seminary","http://luthersem.edu","MN",121
"122","Grace College and Seminary","http://grace.edu","IN",122
"123","Bellarmine University","http://bellarmine.edu","KY",123
"124","University of South Carolina Aiken","http://usca.edu","SC",124
"125","Pierpont Community and Technical College","http://pierpont.edu","WV",125
"126","Florida State University","http://fsu.edu","FL",126
"127","Cornerstone University","http://cornerstone.edu","MI",127
"128","Johns Hopkins School of Advanced International Studies","http://sais-jhu.edu","DC",128
"129","Simmons College","http://simmons.edu","MA",129
"130","Brookhaven College","http://brookhavencollege.edu","TX",130
"131","Saint John’s College","http://stjohnscollegespringfield.edu","Ill",131
"132","Christopher Newport University","http://cnu.edu","VA",132
"133","Pittsburg State University","http://pittstate.edu","KS",133
"134","Oglethorpe University","http://oglethorpe.edu","GA",134
"135","Hill College","http://hillcollege.edu","TX",135
"136","Adance Computing Institute","http://advancedcomputinginstitute.edu","CA",136
"137","Southern Methodist University","http://smu.edu","TX",137
"138","South Dakota School of Mines and Technology","http://sdsmt.edu","SD",138
"139","Hope College","http://hope.edu","MI",139
"140","Salt Lake Community College","http://slcc.edu","UT",140
"141","Henley-Putnam University","http://henley-putnam.edu","CA",141
"142","East Los Angeles College","http://elac.edu","CA",142
"143","University of Massachusetts Medical School","http://umassmed.edu","MA",143
"144","Lander University","http://lander.edu","SC",144
"145","Nunez Community College","http://nunez.edu","LA",145
"146","Kishwaukee College","http://kishwaukeecollege.edu","IL",146
"147","Richland College","http://richlandcollege.edu","TX",147
"148","Howard Community College","http://howardcc.edu","MD",148
"149","Illinois Central College","http://icc.edu","IL",149
"150","Colorado State University-Pueblo","http://colostate-pueblo.edu","CO",150
"151","Atlantic Cape Community College","http://atlantic.edu","NJ",151
"152","Tiffin University","http://tiffin.edu","OH",152
"153","Riverside City College","http://rcc.edu","CA",153
"154","Elmira College","http://elmira.edu","NY",154
"155","ATI College","http://ati.edu","CA",155
"156","Johnson County Community College","http://jccc.edu","KS",156
"157","Eastern Mennonite University","http://emu.edu","VA",157
"158","Elizabeth City State University","http://ecsu.edu","NC",158
"159","Jackson State University","http://jsums.edu","MS",159
"160","Illinois College of Optometry","http://ico.edu","IL",160
"161","Arkansas State University","http://astate.edu","AR",161
"162","Coastal Carolina University","http://coastal.edu","SC",162
"163","Danville Area Community College","http://dacc.edu","IL",163
"164","Western Carolina University","http://wcu.edu","NC",164
"165","Lynn University","http://lynn.edu","FL",165
"166","Chapman University","http://chapman.edu","CA",166
"167","University of Maine Fort Kent","http://umfk.edu","ME",167
"168","University of Georgia","http://uga.edu","GA",168
"169","West  Chester University","http://wcupa.edu","PA",169
"170","State University of New York at Potsdam","http://potsdam.edu","NY",170
"171","Walden University","http://waldenu.edu","MN",171
"172","The Master’s College","http://masters.edu","CA",172
"173","Samford University","http://samford.edu","AL",173
"174","University of Arkansas Community College Batesville","http://uaccb.edu","AR",174
"175","John F. Kennedy University","http://jfku.edu","CA",175
"176","Dallas Nursing Institute","http://dni.edu","TX",176
"177","Yale University","http://yale.edu","CT",177
"178","Solano Community College","http://solano.edu","CA",178
"179","Fort Hays State University","http://fhsu.edu","KS",179
"180","Isothermal Community College","http://isothermal.edu","NC",180
"181","Fairfield University","http://fairfield.edu","CT",181
"182","Saint Xavier University","http://scu.edu","IL",182
"183","University of North Florida","http://unf.edu","FL",183
"184","Georgia College","http://gcsu.edu","GA",184
"185","Art Center College of Design","http://artcenter.edu","CA",185
"186","Saint Mary’s College","http://stmarys-ca.edu","CA",186
"187","University of South Alabama","http://southalabama.edu","AL",187
"188","Florida Gulf Coast University","http://fgcu.edu","FL",188
"189","Old Dominion University","http://odu.edu","VA",189
"190","Binghamton University","http://binghamton.edu","NY",190
"191","Southeastern Louisiana University","http://southeastern.edu","LA",191
"192","Forsyth Technical Community College","http://forsythtech.edu","NC",192
"193","The College of New Rochelle","http://cnr.edu","NY",193
"194","University of Colorado Denver","http://ucdenver.edu","CO",194
"195","The New York Conservatory for Dramatic Arts","http://sft.edu","NY",195
"196","Raritan Valley Community College","http://raritanval.edu","NJ",196
"197","Humphreys College","http://humphreys.edu","CA",197
"198","Tennessee Technological University","http://tntech.edu","TN",198
"199","Capital University","http://capital.edu","OH",199
"200","University of  Baltimore","http://ubalt.edu","MD",200
"201","Saint Mary’s University of Minnesota","http://smumn.edu","MN",201
"202","University of San Diego","http://sandiego.edu","CA",202
"203","Belmont College","http://belmontcollege.edu","OH",203
"204","College for Creative Studies","http://collegeforcreativestudies.edu","MI",204
"205","Bradley University","http://bradley.edu","IL",205
"206","Prince George’s Community College","http://pgcc.edu","MD",206
"207","Kent State University","http://kent.edu","OH",207
"208","Southern Adventist University","http://southern.edu","TN",208
"209","Ocean County College","http://ocean.edu","NJ",209
"210","Edmonds Community College","http://edcc.edu","WA",210
"211","Concordia University Texas","http://concordia.edu","TX",211
"212","Modesto Junior College","http://mjc.edu","CA",212
