College,URL,State,Type,Highest degree offered,Carnegie classification,Course,Department,Sub-topic,Notes,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Introductory Statistics ,Weren't clear departments,Basics of Statistics,Weren't clear departments,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Scientific Literacy 300,,Working with data,,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Scientific Literacy 400,,Working with data,,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Environmental Statistics,Weren't clear departments,Basics of Statistics,Weren't clear departments,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Data Visualization,Weren't clear departments,Data Visualization,Weren't clear departments,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Data Mining and Reporting,Weren't clear departments,Working with data,Weren't clear departments,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Predictive Data Modeling,Weren't clear departments,Statistical models,Weren't clear departments,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Data Programming,Weren't clear departments,Data manipulation/processing,Weren't clear departments,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Ecology,Weren't clear departments,Basics of Ecology,Weren't clear departments,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Human Environment Interactions,Weren't clear departments,Basics of Ecology,Weren't clear departments,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Methods of Calculus,Weren't clear departments,Basics of Statistics,Weren't clear departments,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Research Methods,Weren't clear departments,Basics of statistics,Weren't clear departments,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Public policy,,Science communication,Didn't include department because difficult to interpret,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Wildlife Conservation,,Basics of ecology,Didn't include department because difficult to interpret,
Lynn University,http://lynn.edu,FL,4-year private,PhD,M1,Ethical Decision Making,,Decision science,Didn't include department because difficult to interpret,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Environmental Studies,Biology,Basics of Ecology,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Ecology,Biology,Basics of Ecology,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,"Introduction to Biology: Evolution, Ecology, and Plant Biology",Biology,Basics of Ecology,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Conservation Biology,Biology,Basics of Ecology,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Biostatistics,Biology,Basics of statistics,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Field Biology,Biology,Basics of Ecology,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Special Problems in Environmental Science and Seminar,Biology,Basics of Ecology,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Data Visualization,Business Analytics,Data visualization,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Data Mining and Machine Learning,Business Analytics,Machine Learning,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Introduction to Programming (high level language),Computer Science,Introduction to coding,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Machine Learning I,Computer Science,Machine Learning,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Machine Learning II,Computer Science,Machine Learning,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Enviornmental Engineering Statistics Laboratory,Environmental Engineering,Basics of Statistics,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Modeling and Simulation of Environmental Systems,Environmental Engineering,Basics of forecasting,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Ecological Engineering,Environmental Engineering,Basics of ecology,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Independent Study in Environmental Science,Environmental Science,Basics of ecology,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Calculus I,Math,Basics of Statistics,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Introductory Statistics ,Math,Basics of Statistics,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Mathematical Modeling,Math,Statistical models,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Linear Algebra,Math,Statistical models,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Environmental Ethics,Philosophy,Ethics,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Ethics in Research,Philosophy,Ethics,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Statistics II,Math,Basics of Statistics,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Probability,Math,Probability & Uncertainty,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Mathematical Statistics ,Math,Basics of Statistics,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Ordinary Differential Equations I,Math,Basics of Statistics,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Ordinary Differential Equations II,Math,Basics of Statistics,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Partial Differential Equations,Math,Basics of Statistics,,
Saint Francis University,http://francis.edu,PA,4-year private,PhD,M1,Essentials of Statistics,Statistics,Basics of Statistics,,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Ecol Basis Natural Res Mgmt,Horticulture,Basics of Ecology,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,"People, Res, and Sustainability",Horticulture,Basics of Ecology,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,"Fish, Forestry, & Wildlife",Horticulture,Basics of Ecology,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Programming in python,IT Software Development,Introduction to coding,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Computer programming C (C++),IT Software Development,introduction to coding,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Intro-Programming and Databases,IT Software Development,introduction to coding,Listed as Subjects not Departments,
