Syllabus location,Course Name,Instructor(s),Institution,Education Level,Carnegie Classification,Module,Sub-topic
https://rudeboybert.github.io/SDS390/syllabus.html#Topic_Schedule_and_Readings,Topics in Statistical and Data Sciences - Ecological Forecasting,Albert Kim,Smith College,Undergraduate,Baccalaureate Colleges: Arts & Sciences Focus,Github,Workflows & Open Science
https://rudeboybert.github.io/SDS390/syllabus.html#Topic_Schedule_and_Readings,Topics in Statistical and Data Sciences - Ecological Forecasting,Albert Kim,Smith College,Undergraduate,Baccalaureate Colleges: Arts & Sciences Focus,Time series & basic forecasting,Basics of Forecasting
https://rudeboybert.github.io/SDS390/syllabus.html#Topic_Schedule_and_Readings,Topics in Statistical and Data Sciences - Ecological Forecasting,Albert Kim,Smith College,Undergraduate,Baccalaureate Colleges: Arts & Sciences Focus,ForestGEO Network,Data Sources
https://rudeboybert.github.io/SDS390/syllabus.html#Topic_Schedule_and_Readings,Topics in Statistical and Data Sciences - Ecological Forecasting,Albert Kim,Smith College,Undergraduate,Baccalaureate Colleges: Arts & Sciences Focus,Intro to Ecological Forecasting,Basics of Forecasting
https://rudeboybert.github.io/SDS390/syllabus.html#Topic_Schedule_and_Readings,Topics in Statistical and Data Sciences - Ecological Forecasting,Albert Kim,Smith College,Undergraduate,Baccalaureate Colleges: Arts & Sciences Focus,Creating dashboards using Shiny,Workflows & Open Science
https://rudeboybert.github.io/SDS390/syllabus.html#Topic_Schedule_and_Readings,Topics in Statistical and Data Sciences - Ecological Forecasting,Albert Kim,Smith College,Undergraduate,Baccalaureate Colleges: Arts & Sciences Focus,Modeling interspecies competition Part 1,Statistical Models
https://rudeboybert.github.io/SDS390/syllabus.html#Topic_Schedule_and_Readings,Topics in Statistical and Data Sciences - Ecological Forecasting,Albert Kim,Smith College,Undergraduate,Baccalaureate Colleges: Arts & Sciences Focus,R Packages,Workflows & Open Science
https://rudeboybert.github.io/SDS390/syllabus.html#Topic_Schedule_and_Readings,Topics in Statistical and Data Sciences - Ecological Forecasting,Albert Kim,Smith College,Undergraduate,Baccalaureate Colleges: Arts & Sciences Focus,Modeling interspecies competition Part 2,Statistical Models
https://rudeboybert.github.io/SDS390/syllabus.html#Topic_Schedule_and_Readings,Topics in Statistical and Data Sciences - Ecological Forecasting,Albert Kim,Smith College,Undergraduate,Baccalaureate Colleges: Arts & Sciences Focus,More on pull requests,Workflows & Open Science
https://rudeboybert.github.io/SDS390/syllabus.html#Topic_Schedule_and_Readings,Topics in Statistical and Data Sciences - Ecological Forecasting,Albert Kim,Smith College,Undergraduate,Baccalaureate Colleges: Arts & Sciences Focus,Carbon,Basics of Ecology
